year,LDPCombined,,YearCalc,...2,kuname,pid,year,name_jp,prewruns,prewwins,run1946,win1946,totcruns,totcwins,legis,yr,ken,kunr,kucode,kucoder,region,prcode,result,inc,party_jp,party_en,party_id,ku_vote,ku_totvote,ku_electorate,ku_voteshare,ku_rank,ku_m,ku_ncand,pr_partyvote,pr_totvote,pr_electorate,pr_voteshare,pr_m,pr_partyseats,pr_rank,pr_ncand,pr_rerank,byelection,bycause,mtentry,mtexit,poptotal,popmale,popfemale,popunder15,popover65,popdid,popdensity,work1st,work2nd,work3rd,depurgee,female,byear,age,exp,limit,totexp,LDPCombined
1983,1,1,1,18,Aichi 1,10647,1983,<U+4E39><U+7FBD><U+4E45><U+7AE0>,0,0,0,0,8,3,37,15,Aichi,1,2301,2301.1,Tokai,0,0,0,<U+7121><U+6240><U+5C5E> (<U+81EA><U+6C11>),LDPI,1.5,22604,423208,742635,0.05341109,7,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,1,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1914,69,6945443,15914800,69342656,1
1983,1,3,1,22,Aichi 1,10929,1983,<U+4ECA><U+679D><U+656C><U+96C4>,0,0,0,0,3,1,37,15,Aichi,1,2301,2301.1,Tokai,0,0,1,<U+81EA><U+6C11><U+515A>,LDP,1,63825,423208,742635,0.15081237,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1924,59,11795032,15914800,69342656,1
1983,0,14,1,109,Aichi 1,15052,1983,<U+6625><U+65E5><U+4E00><U+5E78>,0,0,0,0,13,13,37,15,Aichi,1,2301,2301.1,Tokai,0,1,1,<U+6C11><U+4E3B><U+793E><U+4F1A><U+515A>,DSP,4,75998,423208,742635,0.179576,1,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1910,73,13297732,15914800,69342656,0
1983,0,18,1,123,Aichi 1,15840,1983,<U+67F4><U+7530><U+5F18>,0,0,0,0,3,3,37,15,Aichi,1,2301,2301.1,Tokai,0,1,1,<U+516C><U+660E><U+515A>,Komeito,3,74655,423208,742635,0.17640262,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1933,50,9071466,15914800,69342656,0
1983,0,20,1,143,Aichi 1,16215,1983,<U+6A2A><U+5C71><U+5229><U+79CB>,0,0,0,0,11,11,37,15,Aichi,1,2301,2301.1,Tokai,0,1,1,<U+793E><U+4F1A><U+515A>,JSP,2,66445,423208,742635,0.15700318,4,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1917,66,10502831,15914800,69342656,0
1983,0,25,1,167,Aichi 1,17346,1983,<U+7530><U+4E2D><U+7F8E><U+667A><U+5B50>,0,0,0,0,5,4,37,15,Aichi,1,2301,2301.1,Tokai,0,1,0,<U+7121><U+6240><U+5C5E> (<U+5171>),JCPI,5.5,72782,423208,742635,0.1719769,3,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,1,1922,61,3590034,15914800,69342656,0
1983,1,27,1,181,Aichi 1,17472,1983,<U+7530><U+8FBA><U+5E83><U+96C4>,0,0,0,0,1,0,37,15,Aichi,1,2301,2301.1,Tokai,0,0,0,<U+7121><U+6240><U+5C5E> (<U+81EA><U+6C11>),LDPI,1.5,46899,423208,742635,0.11081785,6,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1056931,523142,533789,221346,91263,1035984,0.98019999,2321,156128,369305,0,0,1925,58,14140120,15914800,69342656,1
1983,1,36,1,432,Aichi 2,10649,1983,<U+4E39><U+7FBD><U+5175><U+52A9>,0,0,0,0,11,10,37,15,Aichi,2,2302,2302,Tokai,0,1,1,<U+81EA><U+6C11><U+515A>,LDP,1,124030,591774,899356,0.20959015,1,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1911,72,15309423,17010900,55410584,1
1983,1,40,1,450,Aichi 2,10708,1983,<U+4E45><U+91CE><U+5FE0><U+6CBB>,0,0,1,0,15,13,37,15,Aichi,2,2302,2302,Tokai,0,0,1,<U+81EA><U+6C11><U+515A>,LDP,1,104466,591774,899356,0.17653023,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1910,73,10676662,17010900,55410584,1
1983,0,54,1,570,Aichi 2,18328,1983,<U+7DB2><U+5CA1><U+96C4>,0,0,0,0,3,1,37,15,Aichi,2,2302,2302,Tokai,0,1,0,<U+793E><U+4F1A><U+515A>,JSP,2,109617,591774,899356,0.18523457,3,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1928,55,6385864,17010900,55410584,0
1983,0,58,1,577,Aichi 2,18494,1983,<U+8349><U+5DDD><U+662D><U+4E09>,0,0,0,0,5,4,37,15,Aichi,2,2302,2302,Tokai,0,1,1,<U+7121><U+6240><U+5C5E> (<U+516C>),Komeito Ind.,3.5,114302,591774,899356,0.19315144,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1928,55,9244532,17010900,55410584,0
1983,0,62,1,593,Aichi 2,19913,1983,<U+9752><U+5C71><U+4E18>,0,0,0,0,4,4,37,15,Aichi,2,2302,2302,Tokai,0,1,1,<U+6C11><U+4E3B><U+793E><U+4F1A><U+515A>,DSP,4,105011,591774,899356,0.17745119,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1941,42,11026037,17010900,55410584,0
1983,0,66,1,600,Aichi 2,20360,1983,<U+9D5C><U+98FC><U+8AE6>,0,0,0,0,2,0,37,15,Aichi,2,2302,2302,Tokai,0,0,0,<U+5171><U+7523><U+515A>,JCP,5,34348,591774,899356,0.05804243,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1351630,678058,673571,335403,96129,823064,0.60890001,28206,293586,326734,0,0,1930,53,2768065,17010900,55410584,0
1983,0,71,1,618,Aichi 3,11313,1983,<U+4F50><U+85E4><U+89B3><U+6A39>,0,0,0,0,6,6,37,15,Aichi,3,2303,2303,Tokai,0,1,1,<U+793E><U+4F1A><U+515A>,JSP,2,91540,425522,675707,0.21512401,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.,0,0,1001416,493549,507867,243395,77547,490479,0.48980001,31640,220944,238616,0,0,1942,41,9043555,17019500,48757912,0
